For Barcelona,,,,,,,,,SCA Types,,,,,,,GCA Types,,,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
2021-08-15,20:00 (23:30),Matchweek 1,Sun,Home,W,4,2,Real Sociedad,23,17,4,0,0,1,1,7,4,1,0,0,1,1,Match Report
2021-08-21,22:00 (01:30),Matchweek 2,Sat,Away,D,1,1,Athletic Club,16,11,0,3,1,1,0,2,2,0,0,0,0,0,Match Report
2021-08-29,17:00 (20:30),Matchweek 3,Sun,Home,W,2,1,Getafe,13,13,0,0,0,0,0,4,4,0,0,0,0,0,Match Report
2021-09-20,21:00 (00:30),Matchweek 5,Mon,Home,D,1,1,Granada,32,18,6,1,3,2,2,2,2,0,0,0,0,0,Match Report
2021-09-23,22:00 (01:30),Matchweek 6,Thu,Away,D,0,0,Cádiz,12,8,3,1,0,0,0,0,0,0,0,0,0,0,Match Report
2021-09-26,16:15 (19:45),Matchweek 7,Sun,Home,W,3,0,Levante,35,24,3,6,0,1,1,5,2,0,1,0,1,1,Match Report
2021-10-02,21:00 (00:30),Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,17,12,1,1,0,3,0,0,0,0,0,0,0,0,Match Report
2021-10-17,21:00 (00:30),Matchweek 9,Sun,Home,W,3,1,Valencia,22,17,0,3,0,2,0,5,4,0,0,0,1,0,Match Report
2021-10-24,16:15 (19:45),Matchweek 10,Sun,Home,L,1,2,Real Madrid,24,18,3,1,1,1,0,2,2,0,0,0,0,0,Match Report
2021-10-27,19:00 (22:30),Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,30,24,0,3,1,1,1,0,0,0,0,0,0,0,Match Report
2021-10-30,21:00 (00:30),Matchweek 12,Sat,Home,D,1,1,Alavés,31,24,2,3,0,2,0,2,2,0,0,0,0,0,Match Report
2021-11-06,16:15 (20:45),Matchweek 13,Sat,Away,D,3,3,Celta Vigo,20,16,1,3,0,0,0,6,5,0,1,0,0,0,Match Report
2021-11-20,21:00 (01:30),Matchweek 14,Sat,Home,W,1,0,Espanyol,29,24,0,3,1,1,0,2,1,0,0,0,1,0,Match Report
2021-11-27,21:00 (01:30),Matchweek 15,Sat,Away,W,3,1,Villarreal,19,10,2,3,2,1,1,4,1,0,1,1,1,0,Match Report
2021-12-04,16:15 (20:45),Matchweek 16,Sat,Home,L,0,1,Betis,23,18,2,3,0,0,0,0,0,0,0,0,0,0,Match Report
2021-12-12,16:15 (20:45),Matchweek 17,Sun,Away,D,2,2,Osasuna,19,17,0,1,1,0,0,4,3,0,0,1,0,0,Match Report
2021-12-18,18:30 (23:00),Matchweek 18,Sat,Home,W,3,2,Elche,33,24,2,3,1,3,0,5,3,1,1,0,0,0,Match Report
2021-12-21,21:30 (02:00),Matchweek 4,Tue,Away,D,1,1,Sevilla,37,28,4,0,3,1,1,2,1,1,0,0,0,0,Match Report
2022-01-02,21:00 (01:30),Matchweek 19,Sun,Away,W,1,0,Mallorca,25,20,1,1,1,2,0,2,2,0,0,0,0,0,Match Report
2022-01-08,18:30 (23:00),Matchweek 20,Sat,Away,D,1,1,Granada,24,18,2,3,1,0,0,2,2,0,0,0,0,0,Match Report
2022-01-23,21:00 (01:30),Matchweek 22,Sun,Away,W,1,0,Alavés,19,10,7,0,0,2,0,2,2,0,0,0,0,0,Match Report
2022-02-06,16:15 (20:45),Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,15,10,2,0,1,1,1,6,5,0,0,1,0,0,Match Report
2022-02-13,21:00 (01:30),Matchweek 24,Sun,Away,D,2,2,Espanyol,23,20,1,1,0,1,0,4,4,0,0,0,0,0,Match Report
2022-02-20,16:15 (20:45),Matchweek 25,Sun,Away,W,4,1,Valencia,13,10,1,0,1,1,0,7,6,0,0,1,0,0,Match Report
2022-02-27,21:00 (01:30),Matchweek 26,Sun,Home,W,4,0,Athletic Club,31,26,2,1,1,1,0,7,6,0,0,1,0,0,Match Report
2022-03-06,16:15 (20:45),Matchweek 27,Sun,Away,W,2,1,Elche,35,28,1,1,3,2,0,2,1,0,0,1,0,0,Match Report
2022-03-13,21:00 (01:30),Matchweek 28,Sun,Home,W,4,0,Osasuna,39,33,1,2,2,1,0,8,5,0,1,1,1,0,Match Report
2022-03-20,21:00 (01:30),Matchweek 29,Sun,Away,W,4,0,Real Madrid,33,26,3,2,1,1,0,8,6,2,0,0,0,0,Match Report
2022-04-03,21:00 (00:30),Matchweek 30,Sun,Home,W,1,0,Sevilla,35,27,3,2,3,0,0,2,2,0,0,0,0,0,Match Report
2022-04-10,21:00 (00:30),Matchweek 31,Sun,Away,W,3,2,Levante,28,26,0,1,0,1,0,6,5,0,1,0,0,0,Match Report
2022-04-18,21:00 (00:30),Matchweek 32,Mon,Home,L,0,1,Cádiz,30,22,1,4,2,1,0,0,0,0,0,0,0,0,Match Report
2022-04-21,21:30 (01:00),Matchweek 33,Thu,Away,W,1,0,Real Sociedad,20,19,0,1,0,0,0,2,2,0,0,0,0,0,Match Report
2022-04-24,21:00 (00:30),Matchweek 21,Sun,Home,L,0,1,Rayo Vallecano,29,20,0,5,2,2,0,0,0,0,0,0,0,0,Match Report
2022-05-01,21:00 (00:30),Matchweek 34,Sun,Home,W,2,1,Mallorca,32,25,2,2,1,2,0,3,2,0,0,1,0,0,Match Report
2022-05-07,21:00 (00:30),Matchweek 35,Sat,Away,W,2,1,Betis,21,18,1,2,0,0,0,4,4,0,0,0,0,0,Match Report
2022-05-10,21:30 (01:00),Matchweek 36,Tue,Home,W,3,1,Celta Vigo,18,16,0,1,0,1,0,6,5,0,1,0,0,0,Match Report
2022-05-15,19:30 (23:00),Matchweek 37,Sun,Away,D,0,0,Getafe,10,9,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
2022-05-22,22:00 (01:30),Matchweek 38,Sun,Home,L,0,2,Villarreal,25,20,1,1,1,1,1,0,0,0,0,0,0,0,Match Report
